[APPLICATION_METADATA_BEGIN],,,
CaptureSoftwareApp,RXCaptureApp,,
CaptureSoftwareVersion,21.9.5.0,,
CaptureAppSport,RX_ALLSPORTS,,
[APPLICATION_METADATA_END],,,
[DEVICE_METADATA_BEGIN],,,
[[METADATA_BEGIN],,,
Owner,<Paddle Aust>,,
PurchaseDate,<20230112-1>,,
WEB,AMRSport.com,,
DeviceName,Hornet-2011,,
BuildDate,<20110101>,,
FirmwareVersion,190902,,
WheelCircumferenceMeters,0.1,,
EncoderPulsesPerRev,10,,
TimeStampEvent_EveryNEncoderPulses,2,,
ClockHz,1000000,,
CalibrationScale,0.998,,
[METADATA_END],,,
[DEVICE_METADATA_END],,,
[TRIAL_META_DATA_BEGIN],,,
Athlete,Crosbee,Mark,CSLX Test
TrialDistance,100,,
AutoStopDistance,100,,
TrialFilename,20251029_080132_Crosbee_Mark_60SR,,
ZeroOffsetIdx,1,,
[TRIAL_META_DATA_END],,,
[TRIAL_DATA_BEGIN],,,
TimeStampEvent,Ticks,Seconds,
0,24157,0.024157,[0]
1,31193,0.031193,[1]
2,25757,0.025757,[0]
3,25174,0.025174,[1]
4,25922,0.025922,[0]
5,24268,0.024268,[1]
6,27201,0.027201,[0]
7,28200,0.0282,[1]
8,28120,0.02812,[0]
9,28103,0.028103,[1]
10,29942,0.029942,[0]
11,28422,0.028422,[1]
12,27312,0.027312,[0]
13,25388,0.025388,[1]
14,25560,0.02556,[0]
15,24422,0.024422,[1]
16,22693,0.022693,[0]
17,21348,0.021348,[1]
18,21672,0.021672,[0]
19,19923,0.019923,[1]
20,18546,0.018546,[0]
21,18060,0.01806,[1]
22,18866,0.018866,[0]
23,19384,0.019384,[1]
24,19559,0.019559,[0]
25,17412,0.017412,[1]
26,17632,0.017632,[0]
27,19017,0.019017,[1]
28,17441,0.017441,[0]
29,16304,0.016304,[1]
30,16461,0.016461,[0]
31,16193,0.016193,[1]
32,15834,0.015834,[0]
33,14611,0.014611,[1]
34,14351,0.014351,[0]
35,13933,0.013933,[1]
36,14368,0.014368,[0]
37,13764,0.013764,[1]
38,13005,0.013005,[0]
39,12195,0.012195,[1]
40,11888,0.011888,[0]
41,11862,0.011862,[1]
42,11946,0.011946,[0]
43,11978,0.011978,[1]
44,12146,0.012146,[0]
45,12273,0.012273,[1]
46,12050,0.01205,[0]
47,11812,0.011812,[1]
48,12222,0.012222,[0]
49,12481,0.012481,[1]
50,13304,0.013304,[0]
51,12967,0.012967,[1]
52,13662,0.013662,[0]
53,13262,0.013262,[1]
54,12958,0.012958,[0]
55,12622,0.012622,[1]
56,13277,0.013277,[0]
57,13976,0.013976,[1]
58,13583,0.013583,[0]
59,13332,0.013332,[1]
60,13355,0.013355,[0]
61,14084,0.014084,[1]
62,14186,0.014186,[0]
63,14080,0.01408,[1]
64,14292,0.014292,[0]
65,14935,0.014935,[1]
66,14654,0.014654,[0]
67,15171,0.015171,[1]
68,14745,0.014745,[0]
69,14236,0.014236,[1]
70,14200,0.0142,[0]
71,14523,0.014523,[1]
72,14185,0.014185,[0]
73,13641,0.013641,[1]
74,13297,0.013297,[0]
75,14335,0.014335,[1]
76,15080,0.01508,[0]
77,14432,0.014432,[1]
78,14139,0.014139,[0]
79,14815,0.014815,[1]
80,14407,0.014407,[0]
81,14473,0.014473,[1]
82,15078,0.015078,[0]
83,14806,0.014806,[1]
84,14282,0.014282,[0]
85,14088,0.014088,[1]
86,13969,0.013969,[0]
87,13709,0.013709,[1]
88,13360,0.01336,[0]
89,13092,0.013092,[1]
90,13023,0.013023,[0]
91,13677,0.013677,[1]
92,13382,0.013382,[0]
93,12532,0.012532,[1]
94,11959,0.011959,[0]
95,11884,0.011884,[1]
96,11268,0.011268,[0]
97,10831,0.010831,[1]
98,10923,0.010923,[0]
99,10899,0.010899,[1]
100,10723,0.010723,[0]
101,10357,0.010357,[1]
102,10689,0.010689,[0]
103,10697,0.010697,[1]
104,10573,0.010573,[0]
105,10573,0.010573,[1]
